"id","time","cpu_sec_idle","disk_av_per","disk_read","disk_write","net_receive","mem_pressure","mem_av_per","forks_total","intr","load1","load5","load15","receive_drop","receive_errs","transmit_packets","tcp_sock_alloc","tcp_sock_inuse","tcp_sock_mem","udp_sock_inuse","udp_sock_mem","ipv4_sock_inuse","est_conn","lis_conn","open_fds","attack"
824,"2023-09-03 09:48:36","381798.2975","70.7523","1275192320","35578491904","1903133","10188","73.7133","11052972","572548160","1.01","1","0.95",0,0,13286,166,0,13,0,13,6,2,1,9,0
825,"2023-09-03 09:48:40","381802.085","70.7523","1275192320","35578766336","1905237","10188","73.7276","11053363","572559209","1.01","1","0.95",0,0,13300,166,0,11,0,14,6,2,1,9,0
826,"2023-09-03 09:48:45","381805.6325","70.7523","1275192320","35579065344","1907711","10188","73.7161","11053891","572570300","1.01","1","0.95",0,0,13316,164,0,14,0,14,6,2,1,9,0
827,"2023-09-03 09:48:49","381809.42","70.7523","1275192320","35579356160","1910325","10188","73.7134","11054296","572580003","0.93","0.99","0.95",0,0,13331,163,0,13,0,8,7,2,1,9,0
828,"2023-09-03 09:48:54","381813.1875","70.7523","1275192320","35579671552","1912799","10188","73.7147","11054720","572590946","0.93","0.99","0.95",0,0,13349,162,0,12,0,9,7,2,1,9,0
829,"2023-09-03 09:48:59","381817.3925","70.7523","1275192320","35580310528","1915273","10188","73.7116","11055069","572599392","0.86","0.97","0.94",0,0,13366,162,0,15,0,9,6,2,1,9,0
830,"2023-09-03 09:49:03","381821.3625","70.7523","1275192320","35580597248","1917377","10188","73.7367","11055497","572611254","0.95","0.99","0.95",0,0,13382,164,0,16,0,11,8,2,1,9,0
831,"2023-09-03 09:49:08","381825.195","70.7523","1275192320","35580883968","1919523","10188","73.7489","11055888","572618741","0.87","0.97","0.94",0,0,13399,166,0,15,0,12,8,2,1,9,0
832,"2023-09-03 09:49:12","381828.86","70.7523","1275192320","35581088768","1921997","10188","73.7309","11056309","572627885","0.88","0.97","0.94",0,0,13414,164,0,18,0,12,8,2,1,9,0
833,"2023-09-03 09:49:17","381832.735","70.7523","1275192320","35581371392","1924513","10188","73.8127","11056781","572638253","0.81","0.95","0.94",0,0,13433,164,0,12,0,13,7,2,1,9,0
834,"2023-09-03 09:49:22","381836.6425","70.7523","1275192320","35581658112","1926617","10188","73.7489","11057197","572648194","0.75","0.94","0.93",0,0,13449,168,0,19,0,13,5,2,1,9,0
835,"2023-09-03 09:49:26","381840.295","70.7523","1275192320","35582002176","1929091","10188","73.7273","11057604","572661136","0.69","0.92","0.93",0,0,13465,169,0,12,0,14,6,2,1,9,0
836,"2023-09-03 09:49:31","381844.2275","70.7523","1275192320","35582215168","1931195","10188","73.7673","11058002","572670294","0.63","0.91","0.92",0,0,13481,168,0,15,0,14,8,2,1,9,0
837,"2023-09-03 09:49:35","381847.845","70.7523","1275192320","35582596096","1933669","10188","73.7682","11058415","572681197","0.9","0.96","0.94",0,0,13497,174,0,16,0,14,6,2,1,9,0
838,"2023-09-03 09:49:40","381851.67","70.7523","1275192320","35582911488","1936143","10188","73.726","11058818","572694529","0.9","0.96","0.94",0,0,13515,170,0,12,0,12,6,2,1,9,0
839,"2023-09-03 09:49:44","381855.4025","70.7522","1275192320","35583206400","1938247","10188","73.8301","11059330","572705626","0.91","0.96","0.94",0,0,13531,174,0,13,0,12,8,2,1,9,0
840,"2023-09-03 09:49:49","381859.0275","70.7522","1275192320","35583509504","1940351","10188","73.7911","11059727","572713662","0.84","0.94","0.93",0,0,13545,173,0,15,0,12,7,2,1,9,0
841,"2023-09-03 09:49:53","381862.8775","70.7522","1275192320","35583714304","1942825","10188","73.7452","11060158","572726246","0.77","0.93","0.93",0,0,13563,173,0,14,0,12,5,2,1,9,0
842,"2023-09-03 09:49:58","381866.8325","70.7522","1275192320","35584050176","1944971","10188","73.7637","11060526","572733811","0.71","0.91","0.92",0,0,13580,173,0,21,0,9,5,2,1,9,0
843,"2023-09-03 09:50:02","381870.2325","70.7522","1275192320","35584406528","1947487","10188","73.7677","11061709","572744827","0.73","0.91","0.92",0,0,13599,171,0,15,0,9,6,2,1,9,0
844,"2023-09-03 09:50:07","381874.1725","70.7522","1275192320","35585057792","1949591","10188","73.7234","11062086","572756174","0.67","0.9","0.92",0,0,13615,173,0,15,0,12,6,2,1,9,0
845,"2023-09-03 09:50:11","381877.835","70.7522","1275192320","35585467392","1952065","10188","73.6825","11062487","572766123","0.62","0.88","0.91",0,0,13631,169,0,15,0,12,6,2,1,9,0
846,"2023-09-03 09:50:16","381881.2825","70.7522","1275192320","35586024448","1954539","10188","73.6474","11062985","572778177","0.57","0.87","0.91",0,0,13647,170,0,18,0,12,7,2,1,9,0
847,"2023-09-03 09:50:20","381884.78","70.7522","1275192320","35586356224","1956643","10188","73.7274","11063388","572790908","0.52","0.85","0.9",0,0,13663,172,0,21,0,11,6,2,1,9,0
848,"2023-09-03 09:50:25","381888.275","70.7522","1275192320","35586679808","1958747","10188","73.7086","11063797","572804520","0.52","0.85","0.9",0,0,13679,168,0,16,0,11,7,2,1,9,0
849,"2023-09-03 09:50:29","381891.87","70.7522","1275192320","35587040256","1961221","10188","73.6686","11064186","572816894","0.48","0.84","0.9",0,0,13694,166,0,17,0,9,8,2,1,9,0
850,"2023-09-03 09:50:34","381895.2475","70.7522","1275192320","35587245056","1963695","10188","73.6924","11064626","572829527","0.52","0.84","0.9",0,0,13708,167,0,21,0,12,7,2,1,9,0
